hs_8digit;hs_92_origin;description;excluded;source;mapping_method
52103960;5210.39;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, dyed, nes;0;WTO ATC Annex;both
52103980;5210.39;Woven fabrics of cotton,<85% mixd with m-m fib,</=200 g/m2, dyed, nes;0;WTO ATC Annex;both
52104140;5210.41;Plain weave cotton fab,<85% mixd w m-m fib, nt mor thn 200g/m2, yarn dyd;0;WTO ATC Annex;both
52104160;5210.41;Plain weave cotton fab,<85% mixd w m-m fib, nt mor thn 200g/m2, yarn dyd;0;WTO ATC Annex;both
52104180;5210.41;Plain weave cotton fab,<85% mixd w m-m fib, nt mor thn 200g/m2, yarn dyd;0;WTO ATC Annex;both
52104910;5210.49;Woven fabrics of cotton,<85% mixed w m-m fib,</=200g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52104920;5210.49;Woven fabrics of cotton,<85% mixed w m-m fib,</=200g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52104940;5210.49;Woven fabrics of cotton,<85% mixed w m-m fib,</=200g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52104960;5210.49;Woven fabrics of cotton,<85% mixed w m-m fib,</=200g/m2, yarn dyed, nes;0;WTO ATC Annex;both
52104980;5210.49;Woven fabrics of cotton,<85% mixed w m-m fib,</=200g/m2, yarn dyed, nes;0;WTO ATC Annex;both
