hs_8digit;rate_type;import_origin;exception_type;effective_date;end_date;source
27101930;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101930;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101935;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101935;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101940;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101940;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101945;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101945;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27101990;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27101990;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27102005;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27102005;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27102010;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27102010;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27102015;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27102015;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27102025;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27102025;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27109100;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27109100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27109905;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27109905;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27109910;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27109910;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27109916;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27109916;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27109921;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27109921;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27109931;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27109931;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27109932;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
27109932;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
27109939;bra_topup;BRA;country_exception;2025-04-02;2025-11-12;Brazil Annex April 2
